"UniprotID","EntrezGeneSymbol","TargetFullName","ACME_fdr","ACME_est","ACME_ci_low","ACME_ci_up","ACME_p","ADE_est","ADE_p","prop_med","prop_ci_low","prop_ci_up","total_effect","total_effect_p"
"Q9BUN1","MENT","Protein MENT",0.68539393939394,0.00816027843092125,-0.0173931952679602,0.0341003732156076,0.526,0.221877866473275,0,0.0354735882360717,-0.0867357816350269,0.144906973564055,0.230038144904196,0
"P40306","PSMB10","Proteasome subunit beta type-10",0.68539393939394,0.00518407102792143,-0.0122703319525004,0.0251194962037103,0.512,0.224988111962601,0,0.0225225783609781,-0.0555982687964357,0.11554679915889,0.230172182990523,0
"Q15238","PSG5","Pregnancy-specific beta-1-glycoprotein 5",0.68539393939394,-0.00420720836172863,-0.0175746182286548,0.00953154460174598,0.518,0.234150034630036,0,-0.0182967585030005,-0.093995939339234,0.0446025814104457,0.229942826268307,0
"Q9Y3A3","MOB4","MOB-like protein phocein",0.690529411764706,0.00596383682260972,-0.0122380221524249,0.028025174633367,0.546,0.223953936494638,0,0.0259389986975066,-0.0615020243876376,0.129134951632351,0.229917773317248,0
"Q16659","MAPK6","Mitogen-activated protein kinase 6",0.697828571428571,-0.00486200100319322,-0.0233661582361741,0.0137345703450424,0.568,0.234869462979785,0,-0.0211384489938332,-0.112463817071684,0.0606527213506746,0.230007461976591,0
"Q9HBM1","SPC25","Kinetochore protein Spc25",0.707111111111111,0.0321944828409769,-0.0851577124287071,0.168468053344813,0.592,0.197560230296546,0.018,0.140125451188052,-0.401471392454383,0.767116526757422,0.229754713137523,0
"O43175","PHGDH","D-3-phosphoglycerate dehydrogenase",0.748432432432432,-0.00970882291505903,-0.0510185764960694,0.0366436834349088,0.644,0.240254232676712,0,-0.042112410414488,-0.236135149477883,0.186637984411745,0.230545409761653,0
"Q6UXK5","LRRN1","Leucine-rich repeat neuronal protein 1:Cytoplasmic domain",0.833538461538462,0.00748371366433153,-0.0444844030273256,0.0533113842425457,0.74,0.22229714536875,0,0.0325689167314589,-0.207032588065967,0.249752796329082,0.229780859033081,0
"Q96BN8","OTULIN","Ubiquitin thioesterase otulin",0.833538461538462,-0.00365468667450026,-0.0418696394597316,0.0279884010082451,0.756,0.233642847949579,0,-0.0158907600036379,-0.200384687039148,0.126300566872928,0.229988161275079,0
"P62306","SNRPF","Small nuclear ribonucleoprotein F",0.88365,0.00226428027680836,-0.0272473694434281,0.0177738044223885,0.822,0.227611370434633,0,0.00985002226116878,-0.123003597044389,0.0867740021961043,0.229875650711442,0
"O00744","WNT10B","Protein Wnt-10b",0.997190476190476,-0.000175072295438488,-0.0239616275269275,0.0186773674794444,0.968,0.230145363580066,0,-0.000761282226762959,-0.106855712275815,0.0858822509361052,0.229970291284628,0
"Q92506","HSD17B8","Estradiol 17-beta-dehydrogenase 8",0.997190476190476,3.94134108645072e-06,-0.0174116228869683,0.0164249803808568,0.974,0.229978768129465,0,1.71375539297027e-05,-0.0821278619546184,0.0766170563734263,0.229982709470551,0
"Q99627","COPS8","COP9 signalosome complex subunit 8",0.998,-0.000334282073743013,-0.0152128637437294,0.0137545630246147,0.998,0.230329113307521,0,-0.00145343298347098,-0.068486487364544,0.0603885924426757,0.229994831233778,0
