Pathway,Total,Expected,Hits,P.Value,FDR,Genes
Synapse organization,59,0.287,2,0.0331,0.466,PDZRN3; APP
Response to oxidative stress,148,0.72,3,0.0345,0.466,APP; MAP2K1; HDAC6
Positive regulation of biological process,2350,11.5,17,0.0357,0.466,MAPK10; BRCA1; HDAC1; LAMTOR1; ARAF; APP; NCOA7; OSBPL11; SMPD1; MAP2K1; HDAC6; ELAVL1; CALCA; PEX5; EIF4G3; STXBP5; PAOX
Response to nutrient levels,150,0.73,3,0.0357,0.466,RAB33B; HDAC6; APOC3
Fatty acid biosynthetic process,62,0.302,2,0.0363,0.466,BRCA1; APOC3
Receptor_mediated endocytosis,62,0.302,2,0.0363,0.466,APOC3; CALCA
Exocytosis,151,0.735,3,0.0363,0.466,APP; STXBP5; PI4K2A
Regulation of transport,517,2.52,6,0.0364,0.466,LAMTOR1; RAB33B; MAP2K1; APOC3; CALCA; STXBP5
Monocarboxylic acid metabolic process,262,1.28,4,0.0371,0.468,BRCA1; ACAD11; APOC3; PEX5
Detection of stimulus involved in sensory perception,8,0.0389,1,0.0383,0.473,CALCA
Regulation of catalytic activity,817,3.98,8,0.0386,0.473,MAPK10; APP; SMPD1; MAP2K1; HDAC6; APOC3; CALCA; APBA3
Response to chemical stimulus,1640,8.01,13,0.0393,0.473,BRCA1; EEF1A2; HDAC1; LAMTOR1; MTAP; APP; SMPD1; MAP2K1; HDAC6; APOC3; CALCA; EIF4G3; PAOX
Alcohol metabolic process,159,0.774,3,0.0414,0.485,APP; SMPD1; APOC3
Regulation of translation,159,0.774,3,0.0414,0.485,APP; ELAVL1; EIF4G3
Response to extracellular stimulus,162,0.789,3,0.0434,0.501,RAB33B; HDAC6; APOC3
MAPK cascade,278,1.35,4,0.0446,0.507,MAPK10; LAMTOR1; SMPD1; MAP2K1
Protein phosphorylation,690,3.36,7,0.0451,0.507,MAPK10; ARAF; APP; SMPD1; MAP2K1; CALCA; EIF4G3
Negative regulation of catalytic activity,281,1.37,4,0.0461,0.507,SMPD1; HDAC6; APOC3; APBA3
Positive regulation of transcription from RNA polymerase II promoter,283,1.38,4,0.0471,0.507,BRCA1; HDAC1; APP; NCOA7
Glutamate receptor signaling pathway,10,0.0487,1,0.0477,0.507,APP
Adenylate cyclase_activating G_protein coupled receptor signaling pathway,10,0.0487,1,0.0477,0.507,CALCA
Skeletal muscle tissue development,73,0.355,2,0.0487,0.512,PDZRN3; APP
Notch signaling pathway,74,0.36,2,0.05,0.512,HDAC1; APP
Fatty acid oxidation,74,0.36,2,0.05,0.512,ACAD11; PEX5
